Time,FC,PAS,PAM,PAD
-1,89,90,90,85
0,97.9,99,99,85
90,100.342,99.4134,99.8657,85
180,106.088,97.2411,97.2167,85
270,97.2153,97.061,99.4701,85
360,97.1913,100.877,101.198,85
450,97.5402,97.4998,98.8784,83.8353
540,100.229,94.9485,99.307,83.6286
630,95.2016,101.45,100.742,86.473
720,98.8856,100.251,100.396,84.2102
810,120.922,70.5191,76.4964,79.5881
900,115.602,72.1841,77.7925,78.4763
990,115.832,78.0747,82.7057,76.8887
1080,111.02,74.2461,76.4862,79.7036
1170,115.012,71.9472,76.1178,79.3023
1260,111.862,77.5717,78.3842,80.983
1350,114.194,79.8771,75.2961,77.3792
1440,112.863,76.8417,73.4442,78.8571
1530,96.2292,55.2415,27.825,56.041
1620,99.4052,51.374,31.0764,54.7254
1710,98.2202,64.2263,44.2582,59.541
1800,103.132,60.8357,63.8994,58.1256
1890,104.154,61.7929,65.4881,56.9801
1980,105.52,59.7358,64.4172,59.3289
2070,104.224,65.6984,61.6628,58.0803
2160,102.667,67.4098,64.5724,58.7961
2250,91.3012,44.0651,40.7969,38.4119
2340,98.4043,39.4836,51.5433,40.5633
2430,98.5778,42.4823,47.0754,39.6378
2520,93.8777,42.3737,52.0915,40.115
2610,66.6838,57.0168,53.045,44.9534
2700,93.7779,54.6247,55.4603,42.9527
2790,84.7025,36.9586,50.6229,42.5079
2880,84.9891,38.0609,53.7754,39.65
2970,86.0909,43.1991,51.0664,37.0105
3060,84.1644,38.8878,56.8743,42.9573
3150,87.8111,41.2424,53.4698,41.0097
3240,85.8826,43.9946,49.6761,37.7887
3330,86.3015,35.0694,51.465,40.853
3420,85.7619,39.8806,56.5356,40.4324
3510,91.6328,43.5483,49.9221,41.0628
3600,97.6756,47.872,48.3143,40.3511
3690,101.115,46.877,53.7643,37.7518
3780,103.985,41.1226,54.9211,38.5607
3870,124.68,47.597,56.6016,40.0338
3960,123.701,53.7464,65.6396,41.3098
4050,127.678,52.0789,58.0308,39.0264
4140,125.105,53.0777,62.1403,39.5901
4230,131.898,54.5523,65.9135,37.3006
4320,133.494,49.5885,64.6826,38.8331
4410,138.157,48.6541,61.9883,42.0811
4500,149.754,52.2863,63.3516,41.5391
4590,149.201,48.6333,61.1656,35.946
4680,147.578,48.3981,64.3208,40.2079
4770,145.944,49.7418,62.3231,36.4446
4860,142.198,49.511,63.4835,44.2432
4950,141.859,51.9184,61.6046,38.7511
5040,138.724,52.1226,57.3966,40.3777
5130,142.863,44.8621,56.9511,36.9399
5220,144.704,54.0787,59.2388,36.7695
5310,143.772,52.187,62.7186,38.5321
5400,145.364,45.4815,64.7706,39.2698
5490,148.497,46.3737,62.8495,38.4437
5580,145.992,53.7446,61.1223,37.6881
5670,144.849,52.8573,63.4584,38.3578
5760,148.488,49.247,63.8512,37.6089
5850,145.905,52.5529,64.3327,37.5117
5940,145.261,44.4753,64.2813,37.7477
6030,144.789,53.6309,60.6483,39.6875
6120,144.353,54.1043,60.5161,39.9905
6210,142.967,44.2822,62.5965,41.5833
6300,144.352,48.0046,62.0657,39.8634
6390,146.088,50.4721,60.765,38.765
6480,146.114,51.9501,57.3746,40.3961
6570,144.573,47.9181,64.2516,36.6724
6660,148.816,53.7045,61.4681,38.4853
6750,150.026,49.2441,59.4008,38.6625
6840,149.309,52.079,59.5127,41.0691
6930,148.322,50.5753,59.9531,38.8872
7020,147.707,49.4692,63.8916,38.1546
7110,149.796,51.3119,61.743,40.634
7200,151.639,49.1493,64.0472,36.7834
7290,152.516,50.5583,60.159,39.6635
7380,151.85,45.4759,61.312,38.3567
7470,156.691,50.3612,61.5964,38.3979
7560,160.651,48.0806,62.1269,35.7571
7650,160.785,50.826,59.7552,37.3754
7740,165.729,49.1792,63.4394,37.4303
7830,164.573,46.5277,64.4567,40.1815
7920,167.784,45.8425,57.754,37.1932
8010,168.223,50.014,61.8347,35.0587
8100,172.546,48.8034,62.51,36.7953
8190,171.016,48.6107,66.3107,36.1218
8280,137.064,37.2754,47.6408,37.634
8370,138.341,35.0481,46.7352,36.7462
8460,140.271,35.483,46.2322,38.1131
8550,138.655,37.0863,47.7621,37.1634
8640,140.488,34.3463,46.7614,38.1532
8730,138.762,33.2403,47.2361,36.7893
8820,137.297,55.9394,65.4051,58.8788
8910,134.59,53.8957,63.4945,60.5742
9000,128.27,54.3816,66.6141,57.982
9090,126.784,52.8116,66.0328,59.183
9180,128.234,55.163,66.3873,58.7283
9270,126.532,54.3813,63.7735,56.9918
9360,128.682,53.3376,62.822,57.397
9450,127.363,52.6978,65.5425,58.5027
9540,126.044,52.3203,64.9539,57.7563
9630,127.803,54.2565,66.1631,58.3323
9720,125.492,57.3698,67.7625,58.8498
