Time,FC,PAS,PAM,PAD
-1,81,127,103,86
0,89.1,139.7,113.3,86
30,88.3607,143.097,112.465,86
60,89.5778,138.632,115.183,86
90,89.7985,138.273,115.356,86
120,87.1059,142.645,113.177,86
150,99.6926,141.389,123.405,86
180,99.5265,136.953,127.105,86
210,88.0191,138.222,122.124,86
240,88.3711,140.394,123.842,86
270,89.486,141.2,115.951,86
300,87.1523,141.806,114.273,86
330,87.3101,139.949,110.956,86
360,88.9138,140.144,114.426,86
390,88.237,143.078,115.542,86
420,87.2795,142.046,111.96,86
450,86.8258,138.842,116.737,84.6168
480,89.078,137.907,115.136,85.5305
510,89.7427,141.815,110.79,87.5453
540,91.4898,139.377,113.776,87.5795
570,89.6132,138.624,116.787,84.3839
600,90.7555,137.227,114.906,84.6045
630,87.9452,140.866,111.247,84.4388
660,89.3664,141.638,112.345,84.2198
690,88.0867,143.6,111.042,85.1285
720,88.7738,136.293,113.067,88.2238
750,109.243,110.9,96.9721,79.807
780,112.795,115.033,98.2085,82.5989
810,107.405,117.792,96.6967,76.9642
840,110.493,113.875,98.1637,79.5717
870,107.463,116.765,91.7319,78.1843
900,103.336,115.558,93.6833,77.7368
930,105.308,118.553,94.3072,80.3347
960,105.473,118.935,96.2295,79.0893
990,103.293,115.984,101.488,78.7418
1020,104.784,107.684,94.3603,80.7569
1050,104.228,112.477,89.7704,77.9662
1080,101.533,118.396,98.2289,82.9108
1110,104.782,110.513,97.9569,80.6094
1140,99.4135,114.093,94.8398,83.0986
1170,103.144,110.213,98.2346,80.8489
1200,93.1904,80.3609,68.6696,69.9222
1230,86.2026,79.6194,39.0194,53.1093
1260,86.399,75.4759,40.9785,54.7149
1290,84.3348,82.2381,39.3598,55.5714
1320,84.2319,83.464,41.2574,54.803
1350,83.6464,82.8033,41.6832,58.6416
1380,85.327,75.9142,39.018,50.8989
1410,86.129,81.6472,44.2929,53.8462
1440,91.6443,77.5788,61.6897,58.0898
1470,94.4529,69.539,56.0356,56.8761
1500,91.4529,69.5632,59.5698,53.4194
1530,93.2746,72.722,62.9521,56.93
1560,93.5867,76.1787,58.6246,55.6873
1590,93.2466,73.4712,62.5347,52.6281
1620,92.7528,73.7685,62.4234,55.2852
1650,113.026,61.0636,53.5863,50.965
